Índice,seções [m],Cortantes [N] - longarina I,Forças de binário [N] - longarina I,cortante [N] - longarina C,Forças de binário [N] - longarina C
1,0.0,87460,2478980,45060,2947040
2,0.80769231,79560,2124830,40980,2526020
3,1.61538462,71520,1804490,36840,2145200
4,2.42307692,65880,1513150,33940,1798850
5,3.23076923,62670,1240570,32280,1474800
6,4.03846154,59370,981780,30590,1167160
7,4.84615385,53500,742440,27560,882630
8,5.65384615,45080,533420,23220,634130
9,6.46153846,36680,360050,18900,428030
10,7.26923077,28390,222070,14620,264000
11,8.07692308,20280,118880,10450,141320
12,8.88461538,12520,49330,6450,58650
13,9.69230769,5370,11400,2770,13550
14,10.5,0,0,0,0
